timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,0,0,0.999072,0.007408,0.999072,0.000928
0.033333,0,0,0.999072,0.007408,0.999072,0.000928
0.066667,0,0,0.999072,0.007408,0.999072,0.000928
0.100000,0,0,0.999072,0.007408,0.999072,0.000928
0.133333,0,0,0.999072,0.007408,0.999072,0.000928
0.166667,0,0,0.999072,0.007408,0.999072,0.000928
0.200000,0,0,0.999072,0.007408,0.999072,0.000928
0.233333,0,0,0.999072,0.007408,0.999072,0.000928
0.266667,0,0,0.999504,0.004269,0.999504,0.000496
0.300000,0,0,0.999504,0.004269,0.999504,0.000496
0.333333,0,0,0.999504,0.004269,0.999504,0.000496
0.366667,0,0,0.999504,0.004269,0.999504,0.000496
0.400000,0,0,0.999504,0.004269,0.999504,0.000496
0.433333,0,0,0.999504,0.004269,0.999504,0.000496
0.466667,0,0,0.999504,0.004269,0.999504,0.000496
0.500000,0,0,0.999504,0.004269,0.999504,0.000496
0.533333,0,0,0.991076,0.050997,0.991076,0.008924
0.566667,0,0,0.991076,0.050997,0.991076,0.008924
0.600000,0,0,0.991076,0.050997,0.991076,0.008924
0.633333,0,0,0.991076,0.050997,0.991076,0.008924
0.666667,0,0,0.991076,0.050997,0.991076,0.008924
0.700000,0,0,0.991076,0.050997,0.991076,0.008924
0.733333,0,0,0.991076,0.050997,0.991076,0.008924
0.766667,0,0,0.991076,0.050997,0.991076,0.008924
0.800000,0,0,0.990948,0.051598,0.990948,0.009052
0.833333,0,0,0.990948,0.051598,0.990948,0.009052
0.866667,0,0,0.990948,0.051598,0.990948,0.009052
0.900000,0,0,0.990948,0.051598,0.990948,0.009052
0.933333,0,0,0.990948,0.051598,0.990948,0.009052
0.966667,0,0,0.990948,0.051598,0.990948,0.009052
1.000000,0,0,0.990948,0.051598,0.990948,0.009052
1.033333,0,0,0.990948,0.051598,0.990948,0.009052
1.066667,0,0,0.999840,0.001561,0.999840,0.000160
1.100000,0,0,0.999840,0.001561,0.999840,0.000160
1.133333,0,0,0.999840,0.001561,0.999840,0.000160
1.166667,0,0,0.999840,0.001561,0.999840,0.000160
1.200000,0,0,0.999840,0.001561,0.999840,0.000160
1.233333,0,0,0.999840,0.001561,0.999840,0.000160
1.266667,0,0,0.999840,0.001561,0.999840,0.000160
1.300000,0,0,0.999840,0.001561,0.999840,0.000160
1.333333,0,0,0.999372,0.005261,0.999372,0.000628
1.366667,0,0,0.999372,0.005261,0.999372,0.000628
1.400000,0,0,0.999372,0.005261,0.999372,0.000628
1.433333,0,0,0.999372,0.005261,0.999372,0.000628
1.466667,0,0,0.999372,0.005261,0.999372,0.000628
1.500000,0,0,0.999372,0.005261,0.999372,0.000628
1.533333,0,0,0.999372,0.005261,0.999372,0.000628
1.566667,0,0,0.999372,0.005261,0.999372,0.000628
1.600000,0,0,0.999031,0.007689,0.999031,0.000968
1.633333,0,0,0.999031,0.007689,0.999031,0.000968
1.666667,0,0,0.999031,0.007689,0.999031,0.000968
1.700000,0,0,0.999031,0.007689,0.999031,0.000968
1.733333,0,0,0.999031,0.007689,0.999031,0.000968
1.766667,0,0,0.999031,0.007689,0.999031,0.000968
1.800000,0,0,0.999031,0.007689,0.999031,0.000968
1.833333,0,0,0.999031,0.007689,0.999031,0.000968
1.866667,0,0,0.999636,0.003249,0.999636,0.000364
1.900000,0,0,0.999636,0.003249,0.999636,0.000364
1.933333,0,0,0.999636,0.003249,0.999636,0.000364
1.966667,0,0,0.999636,0.003249,0.999636,0.000364
2.000000,0,0,0.999636,0.003249,0.999636,0.000364
2.033333,0,0,0.999636,0.003249,0.999636,0.000364
2.066667,0,0,0.999636,0.003249,0.999636,0.000364
2.100000,0,0,0.999636,0.003249,0.999636,0.000364
2.133333,0,0,0.999975,0.000291,0.999975,0.000025
2.166667,0,0,0.999975,0.000291,0.999975,0.000025
2.200000,0,0,0.999975,0.000291,0.999975,0.000025
2.233333,0,0,0.999975,0.000291,0.999975,0.000025
2.266667,0,0,0.999975,0.000291,0.999975,0.000025
2.300000,0,0,0.999975,0.000291,0.999975,0.000025
2.333333,0,0,0.999975,0.000291,0.999975,0.000025
2.366667,0,0,0.999975,0.000291,0.999975,0.000025
2.400000,0,0,0.999998,0.000029,0.999998,0.000002
2.433333,0,0,0.999998,0.000029,0.999998,0.000002
2.466667,0,0,0.999998,0.000029,0.999998,0.000002
2.500000,0,0,0.999998,0.000029,0.999998,0.000002
2.533333,0,0,0.999998,0.000029,0.999998,0.000002
2.566667,0,0,0.999998,0.000029,0.999998,0.000002
2.600000,0,0,0.999998,0.000029,0.999998,0.000002
2.633333,0,0,0.999998,0.000029,0.999998,0.000002
2.666667,0,0,0.998956,0.008210,0.998956,0.001044
2.700000,0,0,0.998956,0.008210,0.998956,0.001044
2.733333,0,0,0.998956,0.008210,0.998956,0.001044
2.766667,0,0,0.998956,0.008210,0.998956,0.001044
2.800000,0,0,0.998956,0.008210,0.998956,0.001044
2.833333,0,0,0.998956,0.008210,0.998956,0.001044
2.866667,0,0,0.998956,0.008210,0.998956,0.001044
2.900000,0,0,0.998956,0.008210,0.998956,0.001044
2.933333,0,0,0.853122,0.417255,0.853122,0.146878
2.966667,0,0,0.853122,0.417255,0.853122,0.146878
3.000000,0,0,0.853122,0.417255,0.853122,0.146878
3.033333,0,0,0.853122,0.417255,0.853122,0.146878
3.066667,0,0,0.853122,0.417255,0.853122,0.146878
3.100000,0,0,0.853122,0.417255,0.853122,0.146878
3.133333,0,0,0.853122,0.417255,0.853122,0.146878
3.166667,0,0,0.853122,0.417255,0.853122,0.146878
3.200000,0,0,0.853959,0.415780,0.853959,0.146041
3.233333,0,0,0.853959,0.415780,0.853959,0.146041
3.266667,0,0,0.853959,0.415780,0.853959,0.146041
3.300000,0,0,0.853959,0.415780,0.853959,0.146041
3.333333,0,0,0.853959,0.415780,0.853959,0.146041
3.366667,0,0,0.853959,0.415780,0.853959,0.146041
3.400000,0,0,0.853959,0.415780,0.853959,0.146041
3.433333,0,0,0.853959,0.415780,0.853959,0.146041
3.466667,0,0,0.991019,0.051265,0.991019,0.008981
3.500000,0,0,0.991019,0.051265,0.991019,0.008981
3.533333,0,0,0.991019,0.051265,0.991019,0.008981
3.566667,0,0,0.991019,0.051265,0.991019,0.008981
3.600000,0,0,0.991019,0.051265,0.991019,0.008981
3.633333,0,0,0.991019,0.051265,0.991019,0.008981
3.666667,0,0,0.991019,0.051265,0.991019,0.008981
3.700000,0,0,0.991019,0.051265,0.991019,0.008981
3.733333,0,0,0.991225,0.050292,0.991225,0.008775
3.766667,0,0,0.991225,0.050292,0.991225,0.008775
3.800000,0,0,0.991225,0.050292,0.991225,0.008775
3.833333,0,0,0.991225,0.050292,0.991225,0.008775
3.866667,0,0,0.991225,0.050292,0.991225,0.008775
3.900000,0,0,0.991225,0.050292,0.991225,0.008775
3.933333,0,0,0.991225,0.050292,0.991225,0.008775
3.966667,0,0,0.991225,0.050292,0.991225,0.008775
4.000000,0,0,0.999988,0.000147,0.999988,0.000012
4.033333,0,0,0.999988,0.000147,0.999988,0.000012
4.066667,0,0,0.999988,0.000147,0.999988,0.000012
4.100000,0,0,0.999988,0.000147,0.999988,0.000012
4.133333,0,0,0.999988,0.000147,0.999988,0.000012
4.166667,0,0,0.999988,0.000147,0.999988,0.000012
4.200000,0,0,0.999988,0.000147,0.999988,0.000012
4.233333,0,0,0.999988,0.000147,0.999988,0.000012
4.266667,0,0,0.999987,0.000157,0.999987,0.000013
4.300000,0,0,0.999987,0.000157,0.999987,0.000013
4.333333,0,0,0.999987,0.000157,0.999987,0.000013
4.366667,0,0,0.999987,0.000157,0.999987,0.000013
4.400000,0,0,0.999987,0.000157,0.999987,0.000013
4.433333,0,0,0.999987,0.000157,0.999987,0.000013
4.466667,0,0,0.999987,0.000157,0.999987,0.000013
4.500000,0,0,0.999987,0.000157,0.999987,0.000013
4.533333,0,0,0.997791,0.015714,0.997791,0.002209
4.566667,0,0,0.997791,0.015714,0.997791,0.002209
4.600000,0,0,0.997791,0.015714,0.997791,0.002209
4.633333,0,0,0.997791,0.015714,0.997791,0.002209
4.666667,0,0,0.997791,0.015714,0.997791,0.002209
4.700000,0,0,0.997791,0.015714,0.997791,0.002209
4.733333,0,0,0.997791,0.015714,0.997791,0.002209
4.766667,0,0,0.997791,0.015714,0.997791,0.002209
4.800000,0,0,0.997781,0.015776,0.997781,0.002219
4.833333,0,0,0.997781,0.015776,0.997781,0.002219
4.866667,0,0,0.997781,0.015776,0.997781,0.002219
4.900000,0,0,0.997781,0.015776,0.997781,0.002219
4.933333,0,0,0.997781,0.015776,0.997781,0.002219
4.966667,0,0,0.997781,0.015776,0.997781,0.002219
5.000000,0,0,0.997781,0.015776,0.997781,0.002219
5.033333,0,0,0.997781,0.015776,0.997781,0.002219
5.066667,0,0,0.999980,0.000238,0.999980,0.000020
5.100000,0,0,0.999980,0.000238,0.999980,0.000020
5.133333,0,0,0.999980,0.000238,0.999980,0.000020
5.166667,0,0,0.999980,0.000238,0.999980,0.000020
5.200000,0,0,0.999980,0.000238,0.999980,0.000020
5.233333,0,0,0.999980,0.000238,0.999980,0.000020
5.266667,0,0,0.999980,0.000238,0.999980,0.000020
5.300000,0,0,0.999980,0.000238,0.999980,0.000020
5.333333,0,0,0.999981,0.000225,0.999981,0.000019
5.366667,0,0,0.999981,0.000225,0.999981,0.000019
5.400000,0,0,0.999981,0.000225,0.999981,0.000019
5.433333,0,0,0.999981,0.000225,0.999981,0.000019
5.466667,0,0,0.999981,0.000225,0.999981,0.000019
5.500000,0,0,0.999981,0.000225,0.999981,0.000019
5.533333,0,0,0.999981,0.000225,0.999981,0.000019
5.566667,0,0,0.999981,0.000225,0.999981,0.000019
5.600000,0,0,0.999980,0.000232,0.999980,0.000020
5.633333,0,0,0.999980,0.000232,0.999980,0.000020
5.666667,0,0,0.999980,0.000232,0.999980,0.000020
5.700000,0,0,0.999980,0.000232,0.999980,0.000020
5.733333,0,0,0.999980,0.000232,0.999980,0.000020
5.766667,0,0,0.999980,0.000232,0.999980,0.000020
5.800000,0,0,0.999980,0.000232,0.999980,0.000020
5.833333,0,0,0.999980,0.000232,0.999980,0.000020
5.866667,0,0,0.999980,0.000232,0.999980,0.000020
5.900000,0,0,0.999980,0.000232,0.999980,0.000020
5.933333,0,0,0.999980,0.000232,0.999980,0.000020
5.966667,0,0,0.999980,0.000232,0.999980,0.000020
6.000000,0,0,0.999980,0.000232,0.999980,0.000020
6.033333,0,0,0.999980,0.000232,0.999980,0.000020
6.066667,0,0,0.999980,0.000232,0.999980,0.000020
