timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,0,1,0.989333,0.059044,0.989333,0.010667
0.033333,0,1,0.989333,0.059044,0.989333,0.010667
0.066667,0,1,0.989333,0.059044,0.989333,0.010667
0.100000,0,1,0.989333,0.059044,0.989333,0.010667
0.133333,0,1,0.989333,0.059044,0.989333,0.010667
0.166667,0,1,0.989333,0.059044,0.989333,0.010667
0.200000,0,1,0.989333,0.059044,0.989333,0.010667
0.233333,0,1,0.989333,0.059044,0.989333,0.010667
0.266667,0,1,0.505333,0.693090,0.494667,0.505333
0.300000,0,1,0.505333,0.693090,0.494667,0.505333
0.333333,0,1,0.505333,0.693090,0.494667,0.505333
0.366667,0,1,0.505333,0.693090,0.494667,0.505333
0.400000,0,1,0.505333,0.693090,0.494667,0.505333
0.433333,0,1,0.505333,0.693090,0.494667,0.505333
0.466667,0,1,0.505333,0.693090,0.494667,0.505333
0.500000,0,1,0.505333,0.693090,0.494667,0.505333
0.533333,1,1,1.000000,0.000000,0.000000,1.000000
0.566667,1,1,1.000000,0.000000,0.000000,1.000000
0.600000,1,1,1.000000,0.000000,0.000000,1.000000
0.633333,1,1,1.000000,0.000000,0.000000,1.000000
0.666667,1,1,1.000000,0.000000,0.000000,1.000000
0.700000,1,1,1.000000,0.000000,0.000000,1.000000
0.733333,1,1,1.000000,0.000000,0.000000,1.000000
0.766667,1,1,1.000000,0.000000,0.000000,1.000000
0.800000,1,1,1.000000,0.000000,0.000000,1.000000
0.833333,1,1,1.000000,0.000000,0.000000,1.000000
0.866667,1,1,1.000000,0.000000,0.000000,1.000000
0.900000,1,1,1.000000,0.000000,0.000000,1.000000
0.933333,1,1,1.000000,0.000000,0.000000,1.000000
0.966667,1,1,1.000000,0.000000,0.000000,1.000000
1.000000,1,1,1.000000,0.000000,0.000000,1.000000
1.033333,1,1,1.000000,0.000000,0.000000,1.000000
1.066667,1,1,1.000000,0.000000,0.000000,1.000000
1.100000,1,1,1.000000,0.000000,0.000000,1.000000
1.133333,1,1,1.000000,0.000000,0.000000,1.000000
1.166667,1,1,1.000000,0.000000,0.000000,1.000000
1.200000,1,1,1.000000,0.000000,0.000000,1.000000
1.233333,1,1,1.000000,0.000000,0.000000,1.000000
1.266667,1,1,1.000000,0.000000,0.000000,1.000000
1.300000,1,1,1.000000,0.000000,0.000000,1.000000
1.333333,1,1,1.000000,0.000000,0.000000,1.000000
1.366667,1,1,1.000000,0.000000,0.000000,1.000000
1.400000,1,1,1.000000,0.000000,0.000000,1.000000
1.433333,1,1,1.000000,0.000000,0.000000,1.000000
1.466667,1,1,1.000000,0.000000,0.000000,1.000000
1.500000,1,1,1.000000,0.000000,0.000000,1.000000
1.533333,1,1,1.000000,0.000000,0.000000,1.000000
1.566667,1,1,1.000000,0.000000,0.000000,1.000000
1.600000,0,1,0.500001,0.693147,0.499999,0.500001
1.633333,0,1,0.500001,0.693147,0.499999,0.500001
1.666667,0,1,0.500001,0.693147,0.499999,0.500001
1.700000,0,1,0.500001,0.693147,0.499999,0.500001
1.733333,0,1,0.500001,0.693147,0.499999,0.500001
1.766667,0,1,0.500001,0.693147,0.499999,0.500001
1.800000,0,1,0.500001,0.693147,0.499999,0.500001
1.833333,0,1,0.500001,0.693147,0.499999,0.500001
1.866667,0,1,0.500682,0.693146,0.500682,0.499318
1.900000,0,1,0.500682,0.693146,0.500682,0.499318
1.933333,0,1,0.500682,0.693146,0.500682,0.499318
1.966667,0,1,0.500682,0.693146,0.500682,0.499318
2.000000,0,1,0.500682,0.693146,0.500682,0.499318
2.033333,0,1,0.500682,0.693146,0.500682,0.499318
2.066667,0,1,0.500682,0.693146,0.500682,0.499318
2.100000,0,1,0.500682,0.693146,0.500682,0.499318
2.133333,1,1,0.928881,0.256523,0.071119,0.928881
2.166667,1,1,0.928881,0.256523,0.071119,0.928881
2.200000,1,1,0.928881,0.256523,0.071119,0.928881
2.233333,1,1,0.928881,0.256523,0.071119,0.928881
2.266667,1,1,0.928881,0.256523,0.071119,0.928881
2.300000,1,1,0.928881,0.256523,0.071119,0.928881
2.333333,1,1,0.928881,0.256523,0.071119,0.928881
2.366667,1,1,0.928881,0.256523,0.071119,0.928881
2.400000,0,1,0.570300,0.683230,0.570300,0.429700
2.433333,0,1,0.570300,0.683230,0.570300,0.429700
2.466667,0,1,0.570300,0.683230,0.570300,0.429700
2.500000,0,1,0.570300,0.683230,0.570300,0.429700
2.533333,0,1,0.570300,0.683230,0.570300,0.429700
2.566667,0,1,0.570300,0.683230,0.570300,0.429700
2.600000,0,1,0.570300,0.683230,0.570300,0.429700
2.633333,0,1,0.570300,0.683230,0.570300,0.429700
2.666667,0,1,0.978522,0.103737,0.978522,0.021478
2.700000,0,1,0.978522,0.103737,0.978522,0.021478
2.733333,0,1,0.978522,0.103737,0.978522,0.021478
2.766667,0,1,0.978522,0.103737,0.978522,0.021478
2.800000,0,1,0.978522,0.103737,0.978522,0.021478
2.833333,0,1,0.978522,0.103737,0.978522,0.021478
2.866667,0,1,0.978522,0.103737,0.978522,0.021478
2.900000,0,1,0.978522,0.103737,0.978522,0.021478
2.933333,0,1,0.520770,0.692284,0.479230,0.520770
2.966667,0,1,0.520770,0.692284,0.479230,0.520770
3.000000,0,1,0.520770,0.692284,0.479230,0.520770
3.033333,0,1,0.520770,0.692284,0.479230,0.520770
3.066667,0,1,0.520770,0.692284,0.479230,0.520770
3.100000,0,1,0.520770,0.692284,0.479230,0.520770
3.133333,0,1,0.520770,0.692284,0.479230,0.520770
3.166667,0,1,0.520770,0.692284,0.479230,0.520770
3.200000,1,1,0.999428,0.004841,0.000572,0.999428
3.233333,1,1,0.999428,0.004841,0.000572,0.999428
3.266667,1,1,0.999428,0.004841,0.000572,0.999428
3.300000,1,1,0.999428,0.004841,0.000572,0.999428
3.333333,1,1,0.999428,0.004841,0.000572,0.999428
3.366667,1,1,0.999428,0.004841,0.000572,0.999428
3.400000,1,1,0.999428,0.004841,0.000572,0.999428
3.433333,1,1,0.999428,0.004841,0.000572,0.999428
3.466667,1,1,1.000000,0.000000,0.000000,1.000000
3.500000,1,1,1.000000,0.000000,0.000000,1.000000
3.533333,1,1,1.000000,0.000000,0.000000,1.000000
3.566667,1,1,1.000000,0.000000,0.000000,1.000000
3.600000,1,1,1.000000,0.000000,0.000000,1.000000
3.633333,1,1,1.000000,0.000000,0.000000,1.000000
3.666667,1,1,1.000000,0.000000,0.000000,1.000000
3.700000,1,1,1.000000,0.000000,0.000000,1.000000
3.733333,0,1,0.500000,0.693147,0.500000,0.500000
3.766667,0,1,0.500000,0.693147,0.500000,0.500000
3.800000,0,1,0.500000,0.693147,0.500000,0.500000
3.833333,0,1,0.500000,0.693147,0.500000,0.500000
3.866667,0,1,0.500000,0.693147,0.500000,0.500000
3.900000,0,1,0.500000,0.693147,0.500000,0.500000
3.933333,0,1,0.500000,0.693147,0.500000,0.500000
3.966667,0,1,0.500000,0.693147,0.500000,0.500000
